Project name,Country,Partners,Project type,Announcement,Operation,Project Status,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Atlas Carbon Sequestration Hub Phase 1 (Shell's Polaris Carbon Capture project Shell hub) (ALB),Canada,Shell Canada Limited,Full chain,2021,2025,Planned,0.75,0.75,Other fuel transformation,Dedicated storage,Atlas Carbon Sequestration Hub (ALB),North America
Atlas Carbon Sequestration Hub Phase 2 (ALB),Canada,"Shell Canada Limited, ATCO Energy Solutions, Suncor Energy",T&S,2022,2025,Planned,9.25,9.25,T&S,Dedicated storage,Atlas Carbon Sequestration Hub (ALB),North America
Augusta C2 ,Italy,Buzzi Unicem Spa,Transport,2022,2029,Planned,0.2,0.2,Transport,Dedicated storage,Augusta-C2/Prinos CO2 storage,Europe & Central Asia
Aukra Hydrogen Hub,Norway,"Aker Horizons, Shell, CapeOmega",Full chain,2021,2030,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,Europe & Central Asia
Avedøre Power Station CCS,Denmark,"Orsted, Aker CC (tech)",Capture,2021,2026,Under construction,0.15,0.15,Power and heat,Dedicated storage,Northern Lights,Europe & Central Asia
Avedøre Power Station CCU (Green Fuels for Denmark),Denmark,Orsted,CCU,2021,2026,Planned,,,Power and heat,Use,,Europe & Central Asia
Babcock & Wilcox’s (LA),United States,"Babcock & Wilcox’s, CGI Gases (CO2 offtaker, transport), General Hydrogen (H2 offtaker)",Capture,2023,2026,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Bacton Thames Net Zero,United Kingdom,Eni,T&S,2022,2030,Planned,7.5,10,T&S,Dedicated storage,Bacton Thames Net Zero initiative,Europe & Central Asia
Balikpapan Refinery,Indonesia,"Pertamina, Air Liquide",Full chain,2022,2030,Planned,1.4,1.4,Other fuel transformation,Mixed,Kutai Basin CCUS hub,East Asia & Pacific
Banggai ammonia plant Central Sulawesi,Indonesia,"JOGMEC, Mitsubishi, PT Panca Amara Utama, ITB, Pertamina",Full chain,2021,,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,East Asia & Pacific
Baotou Steel (Inner Mongolia) phase 1,China,Baotou Steel Group,Full Chain,2022,2026,Under construction,0.5,0.5,Iron and steel,Unknown/unspecified,,East Asia & Pacific
Baotou Steel (Inner Mongolia) phase 2,China,Baotou Steel Group,Full Chain,2022,2027,Under construction,1.5,1.5,Iron and steel,Unknown/unspecified,,East Asia & Pacific
Bapco MOL CCUS value chain,Bahrain,"Bapco energies (storage), MOL (transport)",T&S,2023,,Planned,,,T&S,Dedicated storage,,Middle East & North Africa
Barents Blue ammonia project Train 1,Norway,"Horisont Energi (50%), Fertiberia (50%)",Capture,2021,2028,Planned,1.92,2,Hydrogen or ammonia,Dedicated storage,Polaris offshore storage facility (Errai project),Europe & Central Asia
Barents Blue ammonia project Train 2,Norway,"Horisont Energi (50%), Fertiberia (50%)",Capture,2021,,Planned,1.92,2,Hydrogen or ammonia,Dedicated storage,Polaris offshore storage facility (Errai project),Europe & Central Asia
Barents Blue ammonia project Train 3,Norway,"Horisont Energi (50%), Fertiberia (50%)",Capture,2021,,Planned,1.92,2,Hydrogen or ammonia,Dedicated storage,Polaris offshore storage facility (Errai project),Europe & Central Asia
Barossa and Darwin liquefied natural gas (DLNG) CCUS,Australia,"Santos (43.4%), SK E&S, JERA",Capture,2021,2025,Planned,2.3,2.3,Natural gas processing/LNG,Dedicated storage,Bayu-Undan field storage hub,East Asia & Pacific
Battle River Carbon Hub (ALB),Canada,"Heartland Generation Ltd., Carbon Alpha",Storage,2022,2027,Planned,5,5,Storage,Dedicated storage,Battle River Carbon Hub (ALB),North America
Bayou Bend CCS offshore (TX),United States,"Chevron (50%), Talos Energy (25% and operator), Equinor (25%)",Storage,2021,,Planned,,,Storage,Dedicated storage,Bayou Bend CCS offshore (TX),North America
Bayu-Undan field storage hub Timor-Leste phase 1,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",T&S,2021,2028,Planned,2.3,2.3,T&S,Dedicated storage,Bayu-Undan field storage hub,East Asia & Pacific
Bayu-Undan field storage hub Timor-Leste phase 2,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",T&S,2021,,Planned,10,10,T&S,Dedicated storage,Bayu-Undan field storage hub,East Asia & Pacific
Bell Bay Powerfuels project (TAS),Australia,"ABEL Energy, Iberdrola Australia, Johnson Matthey (methanol synthesis), Sungas Renewables (biomass gasifier)",CCU,2020,2027,Planned,,0.411,Power and heat,Use,,East Asia & Pacific
Beremend cement factory,Hungary,DDC,Capture,2023,2032,Planned,0.315,0.315,Cement,Dedicated storage,,Europe & Central Asia
Berrima cement plant (NSW),Australia,"Boral, Calix",CCU,2022,,Planned,0.1,0.1,Cement,Use,,East Asia & Pacific
Big spring refinery (TX) pilot,United States,"Delek, Svante",Capture,2024,2028,Planned,0.145,0.145,Other fuel transformation,Unknown/unspecified,,North America
BIGST gas fiels Cluster Heads of Agreement,Malaysia,"Petronas, JX Nippon",Full chain,2022,,Planned,,,Natural gas processing/LNG,Dedicated storage,,East Asia & Pacific
BIOFOS Carbon Capture Project ,Denmark,BIOFOS,Capture,2021,2030,Planned,,,Power and heat,Unknown/unspecified,,Europe & Central Asia
BIR Waste-to-Energy Bergen,Norway,"BIR, Aker CC",Capture,2021,,Planned,0.1,0.1,Power and heat,Unknown/unspecified,,Europe & Central Asia
Blue Bison ATR advanced CCUS system (WY),United States,"Tallgrass MLP Operations, LLC (FEED)",Capture,2021,,Planned,1.66,1.66,Hydrogen or ammonia,Unknown/unspecified,,North America
"BlueBonnet Sequestration Hub (Chambers, Liberty, and Jefferson County) (TX)",United States,"1PointFive, Oxy low carbon ventures (Occidental)",Storage,2022,2026,Planned,8,8,Storage,Dedicated storage,BlueBonnet sequestration hub,North America
Bonanza BioEnergy CCUS (KS),United States,"Conestoga Energy, Gary Climate Solutions Gary Climate Solutions",Full chain,2010,2012,Operational,0.13,0.16,Biofuels,EOR,,North America
Bonaparte CCS Assessment G7-AP,Australia,"Inpex (53%), TotalEnergies (26%), Woodside (21%, operator)",Storage,2022,2028,Planned,2,2,Storage,Dedicated storage,,East Asia & Pacific
Borealis Antwerp CCS,Belgium,Borealis,Capture,2021,2030,Planned,,,Chemicals,Unknown/unspecified,,Europe & Central Asia
Boreong blue hydrogen,South Korea,"SK E&S, Air Liquide Engineering and Construction (H2 production and liquefaction), GE Vernova, Korea Midland Power, Santos, etc.",Full chain,2021,2028,Planned,2,2,Hydrogen or ammonia,Dedicated storage,,East Asia & Pacific
Borregaard / SAE (Borg CO2) (2 facilities),Norway,"Borg Havn, Borregaard",Capture,2019,2035,Planned,0.15,0.15,Power and heat,Dedicated storage,Northern Lights,Europe & Central Asia
Boundary Dam CCS (SASK),Canada,Saskpower,Capture,2008,2014,Operational,1,1,Power and heat,EOR,,North America
Bow River Hub (ALB),Canada, Inter Pipeline Ltd. and Entropy Inc. ,Storage,2022,,Planned,5,5,Storage,Dedicated storage,Bow River Hub (ALB),North America
BP H2Teesside Phase 1,United Kingdom,"BP, ADNOC",Capture,2021,2027,Planned,1,1,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
BP H2Teesside Phase 2,United Kingdom,"BP, ADNOC",Capture,2021,2030,Planned,1,1,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Brazeau Carbon Sequestration Hub (ALB),Canada, Tidewater Midstream & Infrastructure Ltd.,Storage,2022,,Planned,,,Storage,Dedicated storage,Brazeau Carbon Sequestration Hub (ALB),North America
Bridgeport Energy Moonie CCUS Project,Australia,Bridgeport Energy Limited,T&S,2018,2024,Under construction,0.12,0.12,T&S,EOR,Bridgeport Energy Moonie CCUS Project,East Asia & Pacific
Broadwing Clean Energy Complex (IL),United States,"Warwick, ADM",Capture,2021,2028,Planned,2.8,2.8,Power and heat,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
Broceni cement plant,Latvia,"Schwenk's Building Material Group, Capsol (feasibility)",Capture,2024,2030,Planned,0.75,0.75,Cement,Dedicated storage,"CCS Baltic Consortium, Klapeida terminal",Europe & Central Asia
Burns Harbour (IN),United States,"Dastur International Inc., ON Clean Energy, Inc., University of Texas,Cleveland-Cliffs Inc.",Capture,2020,,Planned,2.8,2.8,Iron and steel,Unknown/unspecified,,North America
Bushmills Ethanol Atwater (MN),United States,"Bushmills Ethanol, Summit Carbon Solutions",Capture,2022,2024,Planned,0.23,0.23,Biofuels,Dedicated storage,Midwest carbon express,North America
Buxton Lime Net Zero,United Kingdom,"Tarmac, SigmaRoc",Capture,2022,,Planned,,,Cement,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe & Central Asia
Buzzi Unicem Augusta cement plant,Italy,Buzzi Unicem Spa,Capture,2022,,Planned,0.2,0.2,Cement,Dedicated storage,Augusta-C2/Prinos CO2 storage,Europe & Central Asia
C Zero phase 1,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023,,Planned,1.2,1.2,Transport,Dedicated storage,C Zero/Nautilus,Europe & Central Asia
C Zero phase 2,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023,,Planned,1.2,1.2,Transport,Dedicated storage,C Zero/Nautilus,Europe & Central Asia
C Zero phase 3,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023,,Planned,0.3,0.3,Transport,Dedicated storage,C Zero/Nautilus,Europe & Central Asia
CalCapture (Elk Hills) (CA) ,United States,"Next carbon solutions (NextDecade), California Resource Corporation (Carbon TerraVault)",Capture,2019,2026,Planned,1.45,1.4,Power and heat,EOR,Carbon TerraVault 1,North America
CalCC Lhoist Air Liquide Lime plant Rety,France,"Air Liquide, Lhoist",Capture,2022,2028,Planned,0.61,0.61,Cement,Dedicated storage,D'Artagnan,Europe & Central Asia
Caledonia Clean Energy (previously Captain Clean Energy),United Kingdom,Summit Power,Full chain,2012,2028,Planned,3,3,Power and heat,Dedicated storage,,Europe & Central Asia
Callisto Mediterranean CO2 Network phase 1,France,"Air Liquide, Eni and Snam",Transport,2023,2029,Planned,3.6,3.6,Transport,Dedicated storage,Ravenna CCS,Europe & Central Asia
Callisto Mediterranean CO2 Network phase 2,France,"Air Liquide, Eni and Snam",Transport,2023,2040,Planned,2.8,2.8,Transport,Dedicated storage,Ravenna CCS,Europe & Central Asia
Calpine Baytown Energy Center (TX),United States,"Calpine, Technip Energies, Shell, Zachry Group",Capture,2023,2028,Planned,2,2,Power and heat,Unknown/unspecified,,North America
Calpine Deer Park Energy Center (TX),United States,Calpine Texas CCUS Holdings,Capture,2021,,Planned,2.91,5,Power and heat,Dedicated storage,,North America
Calpine Delta Energy Center (CA),United States,"ION Clean Energy, Inc., Calpine",Capture,2021,,Planned,,,Power and heat,Dedicated storage,,North America
Calpine Hermiston Power/HERO Basalt CarbonSafe (OR),United States,"University of Wyoming, PNNL, 1PointFive, Calpine, Carbfix, Schlumberger",Full chain,2023,,Planned,1.7,1.7,Power and heat,Dedicated storage,,North America
Cameron Parish CO2 hub (LA),United States,"CarbonVert, Castex (joint venture)",Storage,2023,2027,Planned,,,Storage,Dedicated storage,,North America
CANstore (CA),United States,Electric Power Research Institute,Storage,2023,,Planned,,,Storage,Dedicated storage,CANstore (CA),North America
"Capsol feasibility studies (2 plants, unknown)",EU,"Capsol, unknown companies",Capture,2023,,Planned,1.5,1.5,Cement,Unknown/unspecified,,Europe & Central Asia
Carbon America Bridgeport Ethanol (NE),United States,Carbon America,Full chain,2022,,Planned,0.175,0.175,Biofuels,Dedicated storage,,North America
Carbon America Sterling ethanol (CO),United States,Carbon America,Full chain,2022,2028,Planned,0.35,0.35,Biofuels,Dedicated storage,,North America
Carbon America Yuma ethanol (CO),United States,Carbon America,Full chain,2022,2028,Planned,,,Biofuels,Dedicated storage,,North America
Carbon Capture at Corn-processing complex (NE),United States,ADM,Capture,2022,,Planned,,,Biofuels,Dedicated storage,Eastern Wyoming Sequestration Hub (WY),North America
Carbon Capture on Air Liquide US Gulf Coast Steam Methane Reformer Using the CryocapTM FG Process (TX),United States,"Dastur International Inc., Air Liquide,University of Texas at Austin’s Bureau of Economic Geology",Capture,2022,,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Carbon Capture Retrofit at Sherman Generating Station (TX),United States,"Bechtel National, Inc.",Capture,2019,,Planned,,,Power and heat,Unknown/unspecified,,North America
Carbon Clean CEMEX Rudersdorf plant phase 1,Germany,"CEMEX, carbon clean, KBR(FEED)",CCU,2021,2026,Planned,0.11,0.11,Cement,Use,,Europe & Central Asia
Carbon Clean CEMEX Rudersdorf plant phase 2,Germany,"CEMEX, carbon clean",CCU,2021,,Planned,0.584,0.584,Cement,Use,,Europe & Central Asia
Carbon reduced Ammonia plant St Rose (LA),United States,St. Charles Clean Fuels (Copenhagen Infrastructure Partners and Sustainable Fuels Group),Full chain,2023,2027,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Carbon Storage Complex Southeastern Michigan (MI),United States,"Battelle Memorial Institute, DTE Energy",Storage,2023,,Planned,,2.1,Storage,Dedicated storage,Carbon Storage Complex Southeastern Michigan (MI),North America
Carbon TerraVault 1: Lone Cypress Hydrogen project (CA),United States,"Lone Cypress Energy services, California Resources Corporation (Carbon TerraVault)",Capture,2022,2025,Planned,0.1,0.1,Hydrogen or ammonia,EOR,Carbon TerraVault 1,North America
Carbon TerraVault 2 (CA),United States,Carbon TerraVault Holdings LLC ,Storage,2022,,Planned,,,Storage,Dedicated storage,Carbon TerraVault 2,North America
Carbon TerraVault 3 (CA),United States,"Carbon TerraVault Holdings LLC, Colorado School of Mines",Storage,2022,,Planned,0.37,0.37,Storage,Dedicated storage,Carbon TerraVault 3,North America
Carbon TerraVault 4 (CA),United States,Carbon TerraVault Holdings LLC ,Storage,2023,,Planned,0.04,0.04,Storage,Dedicated storage,Carbon TerraVault 4,North America
Carbon TerraVault 5 (CA),United States,Carbon TerraVault Holdings LLC ,Storage,2023,,Planned,1,1,Storage,Dedicated storage,Carbon TerraVault 5,North America
Carbon TerraVault1: InEnTec (CA),United States,"California Resource Corporation (Carbon TerraVault), InEnTEc",Capture,2023,,Planned,0.1,0.1,Chemicals,Dedicated storage,Carbon TerraVault 1,North America
Carbon TerraVault1: Verde (CA),United States,"California Resource Corporation (Carbon TerraVault), Verde Clean Fuels ",Capture,2023,,Planned,0.1,0.1,Biofuels,Dedicated storage,Carbon TerraVault 1,North America
Carbon2Business LafargeHolcim Laegerdorf (Westkuste100/Hyscale100),Germany,"Holcim Group, Hyscale100 consortium",CCU,2020,2027,Planned,1,1,Cement,Use,,Europe & Central Asia
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,Austria,"Holcim Group, OMV, Verbund, Borealis",CCU,2020,2030,Planned,0.7,0.7,Cement,Use,,Europe & Central Asia
CarbonCapture DACU Carbon Cure at Gary Works (IN),United States,"CarbonCapture, CarbonCure, US Steel",CCU,2022,,Planned,0.005,0.005,DAC,Use,,North America
